2022-05-05 12:05:45.203 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-05-05 12:05:45.230 +02:00 [INF] Hosting environment: Production
2022-05-05 12:05:45.233 +02:00 [INF] Content root path: D:\Projects\LoraGateway\LoraGateway.Terminal\bin\Debug\net6.0
2022-05-05 12:05:45.251 +02:00 [INF] [COM4] Connected to device - ["H2","A0"]
2022-05-05 12:08:17.989 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:18.189 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:18.388 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:18.588 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:18.786 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:18.985 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:19.133 +02:00 [INF] Stopping experiment
2022-05-05 12:08:19.184 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:19.384 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:19.584 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:19.783 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:19.981 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:20.180 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:20.380 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:20.580 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:20.779 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:20.977 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:21.177 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:21.376 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:21.576 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:21.775 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:21.974 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:22.173 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:22.372 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:22.647 +02:00 [INF] [COM4 A0, MC:1094, MD:true, RLNC:0-2] heart beat 4784163-808997123-808661810
2022-05-05 12:08:31.122 +02:00 [INF] Starting in TRANSMITTER MODE
2022-05-05 12:08:31.125 +02:00 [INF] AWAITING KEYPRESS to INIT sfs:[11,10,9,8] powers:[14,10,6,2,0]
2022-05-05 12:08:32.500 +02:00 [INF] NEW RadioConfig T75000ms (t300ms) P14dBm SF11
2022-05-05 12:08:32.504 +02:00 [INF] RadioConf START true
2022-05-05 12:08:32.507 +02:00 [INF] AWAITING KEYPRESS to END ROUND
2022-05-05 12:08:32.513 +02:00 [INF] [COM4] ACK 1
2022-05-05 12:08:32.921 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:33.220 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:33.521 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:33.821 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:34.121 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:34.420 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:34.720 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:35.020 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:35.320 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:35.620 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:35.919 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:36.219 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:36.519 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:36.819 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:37.119 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:37.418 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:37.717 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:38.018 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:38.317 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:38.618 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:38.917 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:39.217 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:39.517 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:39.817 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:40.116 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:40.416 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:40.715 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:41.015 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:41.316 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:41.615 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:41.915 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:42.214 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:42.514 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:42.815 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:43.115 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:43.414 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:43.713 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:44.014 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:44.313 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:44.614 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:44.913 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:45.213 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:45.513 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:45.813 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:46.113 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:46.412 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:46.712 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:47.011 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:47.312 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:47.612 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:47.911 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:48.211 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:48.510 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:48.810 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:49.111 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:49.410 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:49.710 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:50.010 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:50.310 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:50.610 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:50.909 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:51.209 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:51.509 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:51.809 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:52.109 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:52.408 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:52.707 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:53.007 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:53.307 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:53.607 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:53.907 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:54.207 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:54.506 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:54.807 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:55.107 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:55.406 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:55.706 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:56.006 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:56.306 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:56.605 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:56.905 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:57.204 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:57.505 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:57.805 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:58.104 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:58.404 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:58.704 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:59.003 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:59.303 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:59.603 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:08:59.903 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:00.203 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:00.502 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:00.802 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:01.101 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:01.401 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:01.701 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:02.002 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:02.301 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:02.601 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:02.901 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:03.200 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:03.500 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:03.800 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:04.100 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:04.400 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:04.699 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:04.999 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:05.298 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:05.599 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:05.898 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:06.198 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:06.498 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:06.799 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:07.098 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:07.397 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:07.698 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:07.997 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:08.298 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:08.597 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:08.896 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:09.196 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:09.496 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:09.796 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:10.096 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:10.395 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:10.696 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:10.995 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:11.295 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:11.595 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:11.894 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
2022-05-05 12:09:12.194 +02:00 [INF] [COM4, Debug] LORATX_DONE Code:200 (Hex c8)
