Timestamp,PerConfig,Per100,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
132961430146834222,0,0,23,66,1906,47,60,True,19,0,67,True,10,206,1176116501,3147594113
132961430147830941,0,0,23,67,1907,48,60,True,19,0,68,True,10,206,3147594113,838425705
132961430148824731,0,0,23,68,1908,49,60,True,19,0,69,True,10,206,838425705,2969125162
132961430149821682,0,0,23,69,1909,50,60,True,19,0,70,True,10,206,2969125162,1195896661
132961430150824966,0,0,23,70,1910,51,60,True,19,0,71,True,10,206,1195896661,2718610827
132961430151817677,0,0,23,71,1911,52,60,True,19,0,72,True,10,206,2718610827,2915088683
132961430152811027,0,0,23,72,1912,53,60,True,19,0,73,True,10,206,2915088683,310986437
132961430153808326,0,0,23,73,1913,54,60,True,19,0,74,True,10,206,310986437,3008117910
132961430154801934,0,0,23,74,1914,55,60,True,19,0,75,True,10,206,3008117910,2154771538
132961430155800153,0,0,23,75,1915,56,60,True,19,0,76,True,10,206,2154771538,1275933156
132961430156799392,0,0,23,76,1916,57,60,True,19,0,77,True,10,206,1275933156,1897109160
132961430157790759,0,0,23,77,1917,58,60,True,19,0,78,True,10,206,1897109160,1968099412
132961430158791849,0,0,23,78,1918,59,60,True,19,0,79,True,10,206,1968099412,3080219370
132961430159785864,0,0,23,79,1919,60,60,True,19,0,80,True,10,206,3080219370,2997167950
132961430161780156,0,0,24,0,1920,-19,60,False,1,0,1,True,16,16,1,2525019014
132961430162755381,0,0,24,1,1921,-18,60,False,2,0,2,True,195,16,2525019014,2592004160
132961430163753962,0,0,24,2,1922,-17,60,False,3,0,3,True,10,16,2592004160,1988683261
132961430164757436,0,0,24,3,1923,-16,60,False,4,0,4,True,248,169,1988683261,2677848701
132961430165750787,0,0,24,4,1924,-15,60,False,5,0,5,True,8,206,2677848701,263841224
132961430166749832,0,0,24,5,1925,-14,60,False,6,0,6,True,91,235,263841224,3531698935
132961430167749073,0,0,24,6,1926,-13,60,False,7,0,7,True,252,125,3531698935,515086452
132961430168743409,0,0,24,7,1927,-12,60,False,8,0,8,True,115,104,515086452,1021539344
132961430169743632,0,0,24,8,1928,-11,60,False,9,0,9,True,121,58,1021539344,1534276539
132961430170740018,0,0,24,9,1929,-10,60,False,10,0,10,True,221,19,1534276539,4225193153
132961430171738724,0,0,24,10,1930,-9,60,False,11,0,11,True,63,203,4225193153,2680931039
132961430172733519,0,0,24,11,1931,-8,60,False,12,0,12,True,129,166,2680931039,3821198068
132961430173732912,0,0,24,12,1932,-7,60,False,13,0,13,True,199,40,3821198068,3333533055
132961430174735277,0,0,24,13,1933,-6,60,False,14,0,14,True,96,63,3333533055,3756345482
132961430175729371,0,0,24,14,1934,-5,60,False,15,0,15,True,149,208,3756345482,364380949
132961430176722374,0,0,24,15,1935,-4,60,False,16,0,16,True,6,51,364380949,3283420129
132961430177719127,0,0,24,16,1936,-3,60,False,17,0,17,True,52,108,3283420129,2109694035
132961430178715808,0,0,24,17,1937,-2,60,False,18,0,18,True,63,86,2109694035,1323037321
132961430179711245,0,0,24,18,1938,-1,60,False,19,0,19,True,98,92,1323037321,2932232616
132961430180709601,0,0,24,19,1939,0,60,True,19,0,20,True,214,18,2932232616,959586516
132961430181698171,0,0,24,20,1940,1,60,True,19,0,21,True,214,18,959586516,369227209
132961430182692317,0,0,24,21,1941,2,60,True,19,0,22,True,214,18,369227209,159028224
132961430183688310,0,0,24,22,1942,3,60,True,19,0,23,True,214,18,159028224,1188080670
132961430184684952,0,0,24,23,1943,4,60,True,19,0,24,True,214,18,1188080670,3414165203
132961430185684931,0,0,24,24,1944,5,60,True,19,0,25,True,214,18,3414165203,1215546913
132961430186676433,0,0,24,25,1945,6,60,True,19,0,26,True,214,18,1215546913,117655301
132961430187672303,0,0,24,26,1946,7,60,True,19,0,27,True,214,18,117655301,1694089972
132961430188669966,0,0,24,27,1947,8,60,True,19,0,28,True,214,18,1694089972,1927849080
132961430189664633,0,0,24,28,1948,9,60,True,19,0,29,True,214,18,1927849080,881403043
132961430190663437,0,0,24,29,1949,10,60,True,19,0,30,True,214,18,881403043,290148888
132961430191654801,0,0,24,30,1950,11,60,True,19,0,31,True,214,18,290148888,2155938634
132961430192652389,0,0,24,31,1951,12,60,True,19,0,32,True,214,18,2155938634,3428832667
132961430193649599,0,0,24,32,1952,13,60,True,19,0,33,True,214,18,3428832667,12750172
132961430194647842,0,0,24,33,1953,14,60,True,19,0,34,True,214,18,12750172,1038962027
132961430195640619,0,0,24,34,1954,15,60,True,19,0,35,True,214,18,1038962027,3472014867
132961430196636216,0,0,24,35,1955,16,60,True,19,0,36,True,214,18,3472014867,410824228
132961430197637917,0,0,24,36,1956,17,60,True,19,0,37,True,214,18,410824228,516815495
132961430198640597,0,0,24,37,1957,18,60,True,19,0,38,True,214,18,516815495,390411510
132961430199627102,0,0,24,38,1958,19,60,True,19,0,39,True,214,18,390411510,215561586
132961430200620592,0,0,24,39,1959,20,60,True,19,0,40,True,214,18,215561586,563019712
132961430201622828,0,0,24,40,1960,21,60,True,19,0,41,True,214,18,563019712,3771139738
132961430202614718,0,0,24,41,1961,22,60,True,19,0,42,True,214,18,3771139738,4123221981
132961430203610439,0,0,24,42,1962,23,60,True,19,0,43,True,214,18,4123221981,2644194349
132961430204608835,0,0,24,43,1963,24,60,True,19,0,44,True,214,18,2644194349,2624609862
132961430205601611,0,0,24,44,1964,25,60,True,19,0,45,True,214,18,2624609862,1453663946
132961430206597328,0,0,24,45,1965,26,60,True,19,0,46,True,214,18,1453663946,2037062409
132961430207604938,0,0,24,46,1966,27,60,True,19,0,47,True,214,18,2037062409,1312726596
132961430208590706,0,0,24,47,1967,28,60,True,19,0,48,True,214,18,1312726596,4149426704
132961430209589895,0,0,24,48,1968,29,60,True,19,0,49,True,214,18,4149426704,1352582626
132961430210581486,0,0,24,49,1969,30,60,True,19,0,50,True,214,18,1352582626,1467418432
132961430211580303,0,0,24,50,1970,31,60,True,19,0,51,True,214,18,1467418432,3968915427
132961430212580940,0,0,24,51,1971,32,60,True,19,0,52,True,214,18,3968915427,2899236837
132961430213571286,0,0,24,52,1972,33,60,True,19,0,53,True,214,18,2899236837,440900326
132961430214567415,0,0,24,53,1973,34,60,True,19,0,54,True,214,18,440900326,397136110
132961430215562908,0,0,24,54,1974,35,60,True,19,0,55,True,214,18,397136110,1099264884
132961430216557576,0,0,24,55,1975,36,60,True,19,0,56,True,214,18,1099264884,3481122616
132961430217553974,0,0,24,56,1976,37,60,True,19,0,57,True,214,18,3481122616,2845358264
132961430218552155,0,0,24,57,1977,38,60,True,19,0,58,True,214,18,2845358264,3576023063
132961430219545980,0,0,24,58,1978,39,60,True,19,0,59,True,214,18,3576023063,2178028202
132961430220543247,0,0,24,59,1979,40,60,True,19,0,60,True,214,18,2178028202,1869795403
132961430221540565,0,0,24,60,1980,41,60,True,19,0,61,True,214,18,1869795403,4218454308
132961430222541446,0,0,24,61,1981,42,60,True,19,0,62,True,214,18,4218454308,1966333053
132961430223540604,0,0,24,62,1982,43,60,True,19,0,63,True,214,18,1966333053,2673346386
132961430224531888,0,0,24,63,1983,44,60,True,19,0,64,True,214,18,2673346386,1080993208
132961430225523045,0,0,24,64,1984,45,60,True,19,0,65,True,214,18,1080993208,1545067174
132961430226520068,0,0,24,65,1985,46,60,True,19,0,66,True,214,18,1545067174,1176116501
132961430227513821,0,0,24,66,1986,47,60,True,19,0,67,True,214,18,1176116501,3147594113
132961430228510590,0,0,24,67,1987,48,60,True,19,0,68,True,214,18,3147594113,838425705
132961430229510566,0,0,24,68,1988,49,60,True,19,0,69,True,214,18,838425705,2969125162
132961430230503117,0,0,24,69,1989,50,60,True,19,0,70,True,214,18,2969125162,1195896661
132961430231499821,0,0,24,70,1990,51,60,True,19,0,71,True,214,18,1195896661,2718610827
132961430232493800,0,0,24,71,1991,52,60,True,19,0,72,True,214,18,2718610827,2915088683
132961430233491484,0,0,24,72,1992,53,60,True,19,0,73,True,214,18,2915088683,310986437
132961430234489263,0,0,24,73,1993,54,60,True,19,0,74,True,214,18,310986437,3008117910
132961430235483255,0,0,24,74,1994,55,60,True,19,0,75,True,214,18,3008117910,2154771538
132961430236480001,0,0,24,75,1995,56,60,True,19,0,76,True,214,18,2154771538,1275933156
132961430237483148,0,0,24,76,1996,57,60,True,19,0,77,True,214,18,1275933156,1897109160
132961430238472003,0,0,24,77,1997,58,60,True,19,0,78,True,214,18,1897109160,1968099412
132961430239476429,0,0,24,78,1998,59,60,True,19,0,79,True,214,18,1968099412,3080219370
132961430240465867,0,0,24,79,1999,60,60,True,19,0,80,True,214,18,3080219370,2997167950
132961430242448722,0,0,25,0,2000,-19,60,False,1,0,1,True,94,94,1,2525019014
132961430243435428,0,0,25,1,2001,-18,60,False,2,0,2,True,40,94,2525019014,2592004160
132961430244438334,0,0,25,2,2002,-17,60,False,3,0,3,True,240,94,2592004160,1988683261
132961430245434813,0,0,25,3,2003,-16,60,False,4,0,4,True,228,211,1988683261,2677848701
132961430246434582,0,0,25,4,2004,-15,60,False,5,0,5,True,98,24,2677848701,263841224
